Catalog#,Artist,Title,Label,Format,Rating,Released,release_id,CollectionFolder,Date Added,Collection Media Condition,Collection Sleeve Condition,Collection Notes
"R1 3010, 603497816163",Fleetwood Mac,Rumours,"Reprise Records, Reprise Records","LP, Album, RE",5,2025,33388397,Box2,01/10/2025 13:25,Mint (M),Mint (M),
19802817241,Scouting For Girls,Scouting For Girls,"Sony Music, Epic","LP, Album, Ltd, RE, Ora",5,2024,32053815,Box1,01/10/2025 13:31,Mint (M),Mint (M),
19802899691,Scouting For Girls,Everybody Wants To Be On TV (15th Anniversary),"Sony Music, Epic","LP, Album, Zoe",5,2025,33815211,Box1,01/10/2025 13:31,Mint (M),Mint (M),"Signed edition 
"
UP 614,Kenny Rogers,Coward Of The County,United Artists Records,"7"", Promo",5,1979,2148252,Uncategorized,02/10/2025 17:48,Good Plus (G+),,
UTIL 1,Billy Bragg,Life's A Riot With Spy Vs Spy,"Utility, Go! Discs","12"", Album",3,1983,470371,Uncategorized,13/10/2025 04:13,Mint (M),Mint (M),
VVNL46971,Kaiser Chiefs,Kaiser Chiefs' Easy Eighth Album,V2,"LP, Album, Cle",5,2024,29967283,Box1,01/10/2025 13:32,Mint (M),Mint (M),
9102 021,Dire Straits,Dire Straits,Vertigo,"LP, Album",4,1978,1308001,Box1,01/10/2025 13:37,Near Mint (NM or M-),Very Good Plus (VG+),
MOVIE 1,Dire Straits,Romeo And Juliet,Vertigo,"7"", Single, Sil",5,1980,474873,Uncategorized,02/10/2025 17:47,Very Good (VG),Very Good Plus (VG+),
VERH 25,Dire Straits,Brothers In Arms,Vertigo,"LP, Album",5,1985,11482783,Box1,01/10/2025 13:37,Very Good Plus (VG+),Very Good Plus (VG+),
"WX 65, 925 471-1, WX65",Fleetwood Mac,Tango In The Night,"Warner Bros. Records, Warner Bros. Records, Warner Bros. Records","LP, Album, Tel",5,1987,33831750,Uncategorized,13/10/2025 08:28,Near Mint (NM or M-),Very Good Plus (VG+),
93624738619,Red Hot Chili Peppers,Californication,Warner Records,"2xLP, Album, RE",3,2021,22983965,Box2,01/10/2025 13:19,Mint (M),Mint (M),
